Crop,Feature,Importance
CORN,TMIN,0.018342453173877688
CORN,TMAX,0.01587851317483894
CORN,PRCP,0.07984530894240058
CORN,SNOW,0.013696381554298783
CORN,HTDD,0.035877766158601575
CORN,CLDD,0.017206964271486325
CORN,EMXT,0.02633776737838848
CORN,EMNT,0.020918933810577557
CORN,clay_mean,0.027756287419147624
CORN,silt_mean,0.05953256339271193
CORN,sand_mean,0.027172449836774016
CORN,ph_mean,0.03297380486350301
CORN,soc_mean,0.0662627236770473
CORN,bdod_mean,0.12622208347334177
CORN,ndvi_mean_year,0.025854793873204374
CORN,ndvi_min_year,0.024464038319894965
CORN,ndvi_max_year,0.03980532083746472
CORN,evi_mean_year,0.03945278951442435
CORN,evi_min_year,0.03324296652232841
CORN,evi_max_year,0.2691560898056877
SOYBEANS,TMIN,0.01575616388856645
SOYBEANS,TMAX,0.0251423251268674
SOYBEANS,PRCP,0.03566060851228547
SOYBEANS,SNOW,0.010475744858147293
SOYBEANS,HTDD,0.03114195187306321
SOYBEANS,CLDD,0.025865002662738116
SOYBEANS,EMXT,0.03860455156876786
SOYBEANS,EMNT,0.013055358693849262
SOYBEANS,clay_mean,0.034035701500095605
SOYBEANS,silt_mean,0.017220596057369354
SOYBEANS,sand_mean,0.03034565910540462
SOYBEANS,ph_mean,0.032789555377497205
SOYBEANS,soc_mean,0.07012714053379929
SOYBEANS,bdod_mean,0.05059048812534544
SOYBEANS,ndvi_mean_year,0.02531416604393654
SOYBEANS,ndvi_min_year,0.028938689887589335
SOYBEANS,ndvi_max_year,0.0513999890625601
SOYBEANS,evi_mean_year,0.04901755325347209
SOYBEANS,evi_min_year,0.041207149005657216
SOYBEANS,evi_max_year,0.3733116048629881
WHEAT,TMIN,0.01968201439360428
WHEAT,TMAX,0.010322496030864962
WHEAT,PRCP,0.0824627785228061
WHEAT,SNOW,0.005911789242262959
WHEAT,HTDD,0.015337140115809814
WHEAT,CLDD,0.01432431662406897
WHEAT,EMXT,0.01343486425467742
WHEAT,EMNT,0.012998901006353904
WHEAT,clay_mean,0.030405357847729023
WHEAT,silt_mean,0.0446083035020949
WHEAT,sand_mean,0.018891530900179598
WHEAT,ph_mean,0.1410094939238931
WHEAT,soc_mean,0.07057696240542637
WHEAT,bdod_mean,0.3362726067531114
WHEAT,ndvi_mean_year,0.0232209462137716
WHEAT,ndvi_min_year,0.03038701960444423
WHEAT,ndvi_max_year,0.02369825209096427
WHEAT,evi_mean_year,0.040943661935308726
WHEAT,evi_min_year,0.02402810955240375
WHEAT,evi_max_year,0.04148345508022471
OATS,TMIN,0.04270035238695954
OATS,TMAX,0.03636881420003304
OATS,PRCP,0.06551554025381907
OATS,SNOW,0.031063992198233487
OATS,HTDD,0.034819833013254635
OATS,CLDD,0.028441652719906757
OATS,EMXT,0.03396349583534994
OATS,EMNT,0.04015660467832708
OATS,clay_mean,0.06571192010049477
OATS,silt_mean,0.021077872266902588
OATS,sand_mean,0.029179020198870524
OATS,ph_mean,0.03833535190328481
OATS,soc_mean,0.1135184070575805
OATS,bdod_mean,0.046556947233992806
OATS,ndvi_mean_year,0.026390151299100665
OATS,ndvi_min_year,0.036595477324371795
OATS,ndvi_max_year,0.07504951468634005
OATS,evi_mean_year,0.03723699113915557
OATS,evi_min_year,0.03763798631336909
OATS,evi_max_year,0.15968007519065322
SORGHUM,TMIN,0.019022592203412916
SORGHUM,TMAX,0.021246113300713004
SORGHUM,PRCP,0.0316352857917438
SORGHUM,SNOW,0.004965300664551347
SORGHUM,HTDD,0.04805895958465
SORGHUM,CLDD,0.02287739543650324
SORGHUM,EMXT,0.04217742332170378
SORGHUM,EMNT,0.02541767909725436
SORGHUM,clay_mean,0.030795145498322074
SORGHUM,silt_mean,0.016631711596793938
SORGHUM,sand_mean,0.018494804719060707
SORGHUM,ph_mean,0.022989644874860788
SORGHUM,soc_mean,0.03972624244357124
SORGHUM,bdod_mean,0.05256580713279304
SORGHUM,ndvi_mean_year,0.01892876961746192
SORGHUM,ndvi_min_year,0.02701396194980142
SORGHUM,ndvi_max_year,0.036237063412781635
SORGHUM,evi_mean_year,0.04711230346175069
SORGHUM,evi_min_year,0.025037358668255353
SORGHUM,evi_max_year,0.4490664372240147
